Name	Type	ALIGNMENT	Size	CR	AC	HP	Spellcasting?	Attack 1 damage	Attack 2 Damage	Arctic	Coast	Desert	Forest	Grassland	Hill	Mountain	Swamp	Underdark	Underwater	Urban
"Black Dragon, Adult"	Dragon	CE	Huge	14	19	195	NO	2d10+1d8+6	2d6+6	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO
"Black Dragon, Ancient"	Dragon	CE	Gargantuan	21	22	367	NO	2d10+2d8+8	2d6+8	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO
"Black Dragon, Wyrmling"	Dragon	CE	Medium	2	17	33	NO	1d10+1d4+2	5d8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"Black Dragon, Young"	Dragon	CE	Large	7	18	127	NO	2d10+1d8+4	2d6+4	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO
Black Pudding	Ooze	U	Large	4	7	85	NO	4d8+1d6+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Blink Dog	Fey	LG	Medium	0.25	13	22	NO	1d6+1	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Blood Hawk	Beast	U	Small	0.13	12	7	NO	1d4+2	N/A	YES	YES	NO	YES	YES	YES	YES	NO	NO	NO	NO
"Blue Dragon, Adult"	Dragon	LE	Huge	16	19	225	NO	3d10+7	2d6+7	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO
"Blue Dragon, Ancient"	Dragon	LE	Gargantuan	23	22	481	NO	4d10+9	2d6+9	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO
"Blue Dragon, Wyrmling"	Dragon	LE	Medium	3	17	52	NO	1d10+1d6+3	4d10	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"Blue Dragon, Young"	Dragon	LE	Large	9	18	152	NO	3d10+5	2d6+5	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO
Blue Slaad	Aberration	CN	Large	7	15	123	NO	2d6+5	2d6+5	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Boar	Beast	U	Medium	0.25	11	11	NO	1d6+1	N/A	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO
Bone Devil	Fiend (Devil)	LE	Large	9	19	142	NO	1d8+4	2d8+4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Bone Naga	Undead	LE	Large	4	15	58	YES	5d6+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
"Brass Dragon, Adult"	Dragon	CG	Huge	13	18	172	NO	2d10+6	2d6+6	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
"Brass Dragon, Ancient"	Dragon	CG	Gargantuan	20	20	297	NO	2d10+8	2d6+8	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
"Brass Dragon, Wyrmling"	Dragon	CG	Medium	1	16	16	NO	1d10+2	4d6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"Brass Dragon, Young"	Dragon	CG	Large	6	17	110	NO	2d10+4	2d6+4	NO	YES	YES	NO	NO	NO	NO	NO	NO	NO	NO
"Bronze Dragon, Adult"	Dragon	LG	Huge	15	19	212	NO	2d10+7	2d6+7	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
"Bronze Dragon, Ancient"	Dragon	LG	Gargantuan	22	22	444	NO	2d10+9	2d6+9	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
"Bronze Dragon, Wyrmling"	Dragon	LG	Medium	2	17	32	NO	1d10+3	3d10	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"Bronze Dragon, Young"	Dragon	LG	Large	8	18	142	NO	2d10+5	2d6+5	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Brown Bear	Beast	U	Large	1	11	34	NO	1d8+4	2d6+4	YES	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Bugbear	Humanoid	CE	Medium	1	16	27	NO	2d8+2	2d6+2	NO	NO	NO	YES	YES	NO	NO	NO	YES	NO	NO
Bugbear Chief	Humanoid	CE	Medium	3	17	65	NO	2d8+3	2d6+3	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Bulette	Monstrosity	U	Large	5	17	94	NO	4d12+4	N/A	NO	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO
Bullywug	Humanoid	NE	Medium	0.25	15	11	NO	1d4+1	1d8+1	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO
Cambion	Fiend	E	Medium	5	19	82	YES	1d8+1d6+4	3d6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Camel	Beast	U	Large	0.13	9	15	NO	1d4	N/A	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Carrion Crawler	Monstrosity	U	Large	2	13	51	NO	1d4+2	2d4+2	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Cat	Beast	U	Tiny	0	12	2	NO	1	N/A	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO	YES
Centaur	Monstrosity	NG	Large	2	12	45	NO	1d10+4	2d6+4	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
Chain Devil	Fiend (Devil)	LE	Medium	8	16	85	NO	2d6+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Chasme	Fiend (Demon)	CE	Large	6	15	84	NO	11d6+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Chimera	Monstrosity	CE	Large	6	14	114	NO	2d6+4	1d12+4	NO	NO	NO	NO	YES	YES	YES	NO	YES	NO	NO
Chuul	Aberration	CE	Large	4	16	93	NO	2d6+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Clay Golem	Construct	U	Large	9	14	133	NO	2d10+5	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Cloaker	Aberration	CN	Large	8	14	78	NO	2d6+3	1d8+3	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Cloud Giant	Giant	N	Huge	9	14	200	YES	3d8+8	4d10+8	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO
Cockatrice	Monstrosity	U	Small	0.5	11	27	NO	1d4+1	N/A	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
Commoner	Humanoid	ANY	Medium	0	10	4	NO	1d4	N/A	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	YES
Constrictor Snake	Beast	U	large	0.25	12	13	NO	1d6+2	1d8+2	NO	NO	YES	YES	NO	NO	NO	YES	NO	YES	NO
"Copper Dragon, Adult"	Dragon	CG	Huge	14	18	184	NO	2d10+6	2d6+6	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
"Copper Dragon, Ancient"	Dragon	CG	Gargantuan	21	21	350	NO	2d10+8	2d6+8	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
"Copper Dragon, Wyrmling"	Dragon	CG	Medium	1	16	22	NO	1d10+2	4d8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
"Copper Dragon, Young"	Dragon	CG	Large	7	17	119	NO	2d10+4	2d6+4	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO
Couatl	Celestial	LG	Medium	4	19	97	YES	1d6+5	2d6+3	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	YES
Crab	Beast	U	Tiny	0	11	2	NO	1	N/A	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
Crawling Claw	Undead	NE	Tiny	0	12	2	NO	1d4+1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Crocodile	Beast	U	Large	0.5	12	19	NO	1d10+2	N/A	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	YES
Cult Fanatic	Humanoid	NOT GOOD	Medium	2	13	33	YES	1d4+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Cultist	Humanoid	NOT GOOD	Medium	0.13	12	9	NO	1d6+1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Cyclops	Giant	CN	Huge	6	14	138	NO	3d8+6	4d10+6	NO	YES	YES	NO	YES	YES	YES	NO	YES	NO	NO
Dao	Elemental	NE	Large	11	18	187	YES	2d8+6	4d6+6	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Darkmantle	Monstrosity	U	Small	0.5	11	22	NO	1d6+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Death Dog	Monstrosity	NE	Medium	1	12	39	NO	1d6+2	N/A	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Death Knight	Undead	CE	Medium	17	20	180	YES	1d10+4d8+5	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Death Slaad	Aberration	CE	Medium	10	18	170	YES	1d8+2d6+5	1d10+2d6+5	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Death Tyrant	Undead	LE	Large	14	19	187	NO	4d6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Deer	Beast	U	Medium	0	13	4	NO	1d4	N/A	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
Demilich	Undead	NE	Tiny	18	20	80	NO	6d6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Deva	Celestial	LG	Medium	10	17	136	YES	4d8+1d6+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Dire Wolf	Beast	U	Large	1	14	37	NO	2d6+3	N/A	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO
Displacer Beast	Monstrosity	LE	Large	3	13	85	NO	2d6+4	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Djinni	Elemental	CG	Large	11	17	161	YES	2d6+5	N/A	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
Doppelganger	Monstrosity	N	Medium	3	14	52	NO	1d6+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES
Dracolich	Undead	LE	VARIES	17	19	225	NO	3d10+7	2d6+7	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Draft Horse	Beast	U	Large	0.25	10	19	NO	2d4+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Dragon Turtle	Dragon	N	Gargantuan	17	20	341	NO	3d12+7	2d8+7	NO	YES	NO	NO	NO	NO	NO	NO	NO	YES	NO
Dretch	Fiend (Demon)	CE	small	0.25	11	18	NO	1d6	2d4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Drider	Monstrosity	CE	Large	6	19	123	YES	2d8+1d4	1d10+3	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Drow	Humanoid	NE	Medium	0.25	15	13	NO	1d6+2	1d6+2	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Drow Elite Warrior	Humanoid	NE	Medium	5	18	71	NO	4d6+4	1d6+4	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Drow Mage	Humanoid	NE	Medium	7	12	45	YES	1d8+1d6-1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Drow Priestess of Lolth	Humanoid	NE	Medium	8	16	71	NO	6d6+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Druid	Humanoid	ANY	Medium	2	11	27	YES	1d8	N/A	YES	YES	YES	YES	YES	YES	YES	YES	YES	NO	NO
Dryad	Fey	N	Medium	1	11	22	YES	1d8+4	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Duergar	Humanoid	LE	Medium	1	16	26	NO	1d8+2	1d6+2	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Duodrone	Construct	LN	Medium	0.25	15	11	NO	1d4	1d6+1	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Dust Mephit	Elemental	NE	Small	0.5	12	17	NO	1d4+2	N/A	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Eagle	Beast	U	Small	0	12	3	NO	1d4+2	N/A	NO	YES	NO	NO	YES	YES	YES	NO	NO	NO	NO
Earth Elemental	Elemental	N	Large	5	17	126	NO	2d8+5	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Efreeti	Elemental	LE	Large	11	17	200	YES	2d6+6	5d6	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Elephant	Beast	U	Huge	4	12	76	NO	3d8+5	3d10+5	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
Elk	Beast	U	Large	0.25	10	13	NO	1d6+3	2d4+3	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO
Empyrean	Celestial	CG OR NE	Huge	23	22	313	YES	6d6+10	7d6	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Erinyes	Fiend (Devil)	LE	Medium	12	18	153	NO	3d8+1d10+4	4d8+3	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Ettercap	Monstrosity	NE	Medium	2	13	44	NO	2d8+2	2d4+2	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Ettin	Giant	CE	large	4	12	85	NO	2d8+5	2d8+5	NO	NO	NO	NO	NO	YES	YES	NO	YES	NO	NO
Faerie Dragon	Dragon	CG	Tiny	1	15	14	YES	1	N/A	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Fire Elemental	Elemental	N	large	5	13	102	NO	2d6+3	N/A	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Fire Giant	Giant	LE	Huge	9	18	162	NO	6d6+7	4d10+7	NO	NO	NO	NO	NO	NO	YES	NO	YES	NO	NO
Fire Snake	Elemental	NE	Medium	1	14	22	NO	1d6+1d4+1	1d6+1d4+1	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Flameskull	Undead	NE	Tiny	4	13	40	YES	3d6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Flesh Golem	Construct	N	Medium	5	9	93	NO	2d8+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Flumph	Aberration	LG	Small	0.13	12	7	NO	2d4+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Flying Snake	Beast	U	Tiny	0.13	14	5	NO	3d4+1	N/A	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO	YES
Flying Sword	Construct	U	Small	0.25	17	17	NO	1d8+1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Fomorian	Giant	CE	Huge	8	14	149	NO	3d8+6	6d8	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Frog	Beast	U	Tiny	0	11	1	NO	N/A	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Frost Giant	Giant	NE	Huge	8	15	138	NO	3d12+6	4d10+6	YES	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO
Galeb Duhr	Elemental	N	Medium	6	16	85	NO	2d6+5	N/A	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO
Gargoyle	Elemental	CE	Medium	2	15	52	NO	1d6+2	1d6+2	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES
Gas Spore	Plant	U	Large	0.5	5	1	NO	1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Gelatinous Cube	Ooze	U	Large	2	6	84	NO	3d6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Ghast	Undead	CE	Medium	2	13	36	NO	2d8+3	2d6+3	NO	NO	NO	NO	NO	NO	NO	YES	YES	NO	YES
Ghost	Undead	ANY	Medium	4	11	45	NO	4d6+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES
Ghoul	Undead	CE	Medium	1	12	22	NO	2d6+2	2d4+2	NO	NO	NO	NO	NO	NO	NO	YES	YES	NO	YES
Giant Ape	Beast	U	Huge	7	12	157	NO	3d10+6	7d6+6	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Giant Badger	Beast	U	Medium	0.25	10	13	NO	1d6+1	2d4+1	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
Giant Bat	Beast	U	Large	0.25	13	22	NO	1d6+2	N/A	NO	NO	NO	YES	NO	NO	NO	NO	YES	NO	NO
Giant Boar	Beast	U	Large	2	12	42	NO	10d6+3	N/A	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
Giant Centipede	Beast	U	small	0.25	13	4	NO	1d4+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	YES
Giant Constrictor Snake	Beast	U	Huge	2	12	60	NO	2d6+4	2d8+4	NO	NO	YES	YES	NO	NO	NO	YES	YES	YES	NO
Giant Crab	Beast	U	Medium	0.13	15	13	NO	1d6+1	N/A	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
Giant Crocodile	Beast	U	Huge	5	14	85	NO	3d10+5	2d8+5	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO
Giant Eagle	Beast	U	Large	1	13	26	NO	1d6+3	2d6+3	NO	YES	NO	NO	YES	YES	NO	NO	NO	NO	NO
Giant Elk	Beast	U	Huge	2	14	42	NO	2d6+4	4d8+4	NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO
Giant Fire Beetle	Beast	U	small	0	13	4	NO	1d6-1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Giant Frog	Beast	U	Medium	0.25	11	18	NO	1d6+1	N/A	NO	NO	NO	YES	NO	NO	NO	YES	NO	NO	NO
Giant Goat	Beast	U	Large	0.5	11	19	NO	2d4+3	N/A	NO	NO	NO	NO	YES	NO	YES	NO	NO	NO	NO
Giant Hyena	Beast	U	Large	1	12	45	NO	2d6+3	N/A	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO
Giant Lizard	Beast	U	Large	0.25	12	19	NO	1d8+2	N/A	NO	YES	YES	YES	NO	NO	NO	YES	YES	NO	NO
Giant Octopus	Beast	U	Large	1	11	52	NO	2d6+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO
Giant Owl	Beast	U	Large	0.25	12	19	NO	2d6+1	N/A	YES	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO
Giant Poisonous Snake	Beast	U	Medium	0.25	14	11	NO	1d4+4	N/A	NO	NO	YES	YES	YES	NO	NO	YES	YES	NO	YES
Giant Rat	Beast	U	Small	0.13	12	7	NO	1d4+2	N/A	NO	NO	NO	YES	NO	NO	NO	YES	YES	NO	YES
Giant Scorpion	Beast	U	Large	3	15	52	NO	1d8+2	1d10+2	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO
Giant Sea Horse	Beast	U	Large	0.5	13	16	NO	1d6+1	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO
Giant Shark	Beast	U	Huge	5	13	126	NO	3d10+6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO
Giant Spider	Beast	U	Large	1	14	26	NO	1d8+3	N/A	NO	NO	YES	YES	NO	NO	NO	YES	YES	NO	YES
Giant Toad	Beast	U	Large	1	11	39	NO	2d10+2	N/A	NO	YES	NO	YES	NO	NO	NO	YES	YES	NO	NO
Giant Vulture	Beast	NE	Large	1	10	22	NO	2d4+4	2d6+2	NO	NO	YES	NO	YES	NO	NO	NO	NO	NO	NO
Giant Wasp	Beast	U	Medium	0.5	12	13	NO	1d6+2	N/A	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	YES
Giant Weasel	Beast	U	Medium	0.13	13	9	NO	1d4+3	N/A	NO	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO
Giant Wolf Spider	Beast	U	Medium	0.25	13	11	NO	1d6+1	N/A	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO
Gibbering Mouther	Aberration	N	Medium	2	9	67	NO	5d6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	YES	NO	NO
Githyanki Knight	Humanoid	LE	Medium	8	18	91	YES	5d6+6	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Githyanki Warrior	Humanoid	LE	Medium	3	17	46	YES	4d6+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Githzerai Monk	Humanoid	LN	Medium	2	14	38	YES	3d8+2	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Githzerai Zerth	Humanoid	LN	Medium	6	17	84	YES	2d6+3d8+4	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Glabrezu	Fiend (Demon)	CE	Large	9	17	157	YES	2d10+5	2d4+2	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Gladiator	Humanoid	ANY	Medium	5	16	112	NO	2d8+4	2d4+4	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	YES
Gnoll	Humanoid	CE	Medium	0.5	15	22	NO	1d4+2	1d8+2	NO	NO	YES	YES	YES	NO	NO	NO	NO	NO	NO
Gnoll Fang of Yeenoghu	Humanoid	CE	Medium	4	14	65	NO	1d6+3	1d8+3	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO
Gnoll Pack Lord	Humanoid	CE	Medium	2	15	49	NO	1d4+3	1d10+3	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO
"Gnome, Deep (Svirfneblin)"	Humanoid	NG	Small	0.5	15	16	YES	1d8+3	N/A	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
Goat	Beast	U	Medium	0	10	4	NO	1d4+1	N/A	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	YES
Goblin	Humanoid	NE	small	0.25	15	7	NO	1d6+2	1d6+2	NO	NO	NO	YES	YES	YES	NO	NO	YES	NO	NO
Goblin Boss	Humanoid	NE	small	1	17	21	NO	1d6+2	1d6+2	NO	NO	NO	YES	YES	YES	NO	NO	YES	NO	NO
"Gold Dragon, Adult"	Dragon	LG	Huge	17	19	256	NO	2d10+8	2d6+8	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
"Gold Dragon, Ancient"	Dragon	LG	Gargantuan	24	22	546	NO	2d10+10	2d6+10	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
"Gold Dragon, Wyrmling"	Dragon	LG	Medium	3	17	60	NO	1d10+4	4d10	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
